label,A_name,A_class,A_reason,B_name,B_class,B_reason,agreement
Lexicographic ordering on S-depth,lexicographic_measure,direct_measure,"lexicographic ordering over a depth measure, not a path order",lexicographic_measure,direct_measure,"lexicographic ordering on a depth count, matches lexicographic ordering entry",agree
Lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO; matches LPO/polynomial precedent,agree
Lexicographic path ordering / well-founded measure,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO as primary,agree
Lexicographic/Recursive Path Ordering (LPO/RPO),lpo,path_order,full-name variant maps lpo like 'Lexicographic/Recursive Path Ordering',lpo,path_order,matches Lexicographic/Recursive Path Ordering -> lpo entry,agree
Lexicographical Path Ordering (LPO); structural induction,lpo,path_order,leads with LPO as primary,lpo,path_order,leads with LPO as primary,agree
Measure decrease on S-nesting depth,direct_measure,direct_measure,S-nesting depth measure; s_nesting renamed to direct_measure,direct_measure,direct_measure,single decreasing depth count is a direct measure,agree
Multiset Path Ordering (MPO),path_order_generic,path_order,matches dictionary 'multiset path ordering' -> path_order_generic,path_order_generic,path_order,matches multiset path ordering -> path_order_generic entry,agree
Multiset order on S-nesting depth,multiset_measure,direct_measure,"multiset of depth values, a multiset measure not a path order",multiset_measure,direct_measure,multiset comparison of depth counts is a multiset measure,agree
Multiset ordering on S-nesting depths,multiset_measure,direct_measure,"multiset of depth values, a multiset measure not a path order",multiset_measure,direct_measure,multiset comparison of depth counts is a multiset measure,agree
Polynomial Interpretation or Lexicographic Path Ordering (LPO),polynomial_interpretation,polynomial,leads with polynomial interpretation as primary,polynomial_interpretation,polynomial,leads with polynomial interpretation as primary,agree
Polynomial interpretation into the natural numbers,polynomial_interpretation,polynomial,interpretation into N,polynomial_interpretation,polynomial,"interpretation into N, matches polynomial over naturals entries",agree
Polynomial interpretation over natural numbers,polynomial_interpretation,polynomial,interpretation into N,polynomial_interpretation,polynomial,"interpretation into N, matches polynomial over naturals entries",agree
Polynomial interpretation; Lexicographic Path Ordering,polynomial_interpretation,polynomial,leads with polynomial interpretation as primary,polynomial_interpretation,polynomial,leads with polynomial; matches polynomial-and-path-order compound precedent,agree
Polynomial interpretation; lexicographic path ordering (LPO/RPO),polynomial_interpretation,polynomial,leads with polynomial interpretation as primary,polynomial_interpretation,polynomial,leads with polynomial; matches polynomial-and-path-order compound precedent,agree
Polynomial interpretation; well-foundedness argument,polynomial_interpretation,polynomial,polynomial interpretation with routine well-foundedness appeal,polynomial_interpretation,polynomial,matches polynomial interpretation / well-founded ordering entry,agree
RPO (Recursive Path Order),rpo,path_order,explicit RPO,rpo,path_order,explicit RPO,agree
RPO (recursive path order),rpo,path_order,explicit RPO,rpo,path_order,explicit RPO,agree
RPO (recursive path ordering),rpo,path_order,explicit RPO,rpo,path_order,explicit RPO,agree
RPO path order,rpo,path_order,explicit RPO,rpo,path_order,explicit RPO,agree
RPO/KBO path order; lexicographic measure (g c s),rpo,path_order,leads with RPO; matches 'RPO/LPO / ...' -> rpo precedent,rpo,path_order,leads with RPO; matches RPO/LPO-leading compound -> rpo precedent,agree
RPO/LPO path order,rpo,path_order,leads with RPO like dictionary 'RPO/LPO / S-nesting depth interpretation',rpo,path_order,"RPO-leading compound, matches RPO/LPO entries -> rpo",agree
RPO/path order,rpo,path_order,leads with RPO; generic path-order tag secondary,rpo,path_order,leads with RPO; path-order family,agree
RPO/simplification ordering,rpo,path_order,leads with RPO; simplification ordering is path-order family,rpo,path_order,RPO named first; simplification ordering is same family,agree
Ranking function,direct_measure,direct_measure,numeric ranking function is a decreasing measure,direct_measure,direct_measure,ranking function is a decreasing numeric measure,agree
Recursive Path Ordering (RPO) / Lexicographic Path Ordering (LPO); Polynomial Interpretation,rpo,path_order,leads with RPO; matches Recursive/lexicographic (RPO/LPO) -> rpo precedent,rpo,path_order,primary committed method is RPO,agree
Recursive Path Ordering (RPO) with precedence F>G,rpo,path_order,matches dictionary RPO with precedence F > G,rpo,path_order,RPO with explicit precedence; matches dictionary row,agree
Recursive Path Ordering (RPO/LPO); Polynomial Interpretations,rpo,path_order,leads with RPO; polynomial is secondary,rpo,path_order,leads with RPO; polynomial is secondary,agree
Recursive path ordering (RPO/LPO); polynomial interpretation,rpo,path_order,leads with RPO; polynomial is secondary,rpo,path_order,leads with RPO; polynomial is secondary,agree
Recursive/Lexicographic Path Ordering (LPO),lpo,path_order,explicit acronym names LPO specifically,lpo,path_order,parenthetical commits to LPO,agree
S-constructor count in third argument,direct_measure,direct_measure,S-count measure per rename rules,direct_measure,direct_measure,S-count measure collapses to direct_measure,agree
S-depth/F measure,direct_measure,direct_measure,S-depth measure per rename rules,direct_measure,direct_measure,depth/count measure is direct_measure,agree
S-symbol count measure,direct_measure,direct_measure,S-count measure per rename rules,direct_measure,direct_measure,symbol-count measure is direct_measure,agree
Semantic argument,direct_measure,direct_measure,matches informal semantic analysis -> direct_measure precedent,direct_measure,direct_measure,bare semantic argument maps like semantic termination argument,agree
Structural induction on depth of third argument,structural_induction,structural_induction,plain structural induction on term structure,structural_induction,structural_induction,induction on structure/depth,agree
Structural induction on third argument,structural_induction,structural_induction,matches dictionary entry exactly,structural_induction,structural_induction,matches dictionary structural induction rows,agree
Structural induction; Lexicographic Path Ordering (LPO),structural_induction,structural_induction,leads with structural induction; LPO secondary,structural_induction,structural_induction,leads with structural induction; LPO secondary,agree
Structural induction; recursive path order (RPO/LPO),structural_induction,structural_induction,leads with structural induction; path order secondary,structural_induction,structural_induction,leads with structural induction; RPO secondary,agree
Structural induction; structural size decrease,structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,primary method is structural induction,agree
Structural induction; structural size-decrease,structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,primary method is structural induction,agree
Structural induction; structural subterm ordering,structural_induction,structural_induction,leads with structural induction; matches induction/subterm precedent,structural_induction,structural_induction,matches structural induction / subterm ordering row,agree
Structural recursion on third argument,structural_descent,structural_descent,structural_recursion renamed to structural_descent,structural_descent,structural_descent,structural_recursion renames to structural_descent,agree
decrease-in-a-natural-number measure; Recursive Path Ordering (RPO),direct_measure,direct_measure,leads with natural-number decreasing measure; RPO secondary,direct_measure,direct_measure,leads with natural-number decreasing measure,agree
decreasing S-constructor count measure,direct_measure,direct_measure,S-count measure per rename rules,direct_measure,direct_measure,S-count measure is direct_measure,agree
decreasing count of S in third argument,direct_measure,direct_measure,matches decreasing measure (count of S) precedent,direct_measure,direct_measure,matches decreasing measure (count of S) row,agree
decreasing measure (#F + #S occurrences),direct_measure,direct_measure,symbol-count decreasing measure,direct_measure,direct_measure,occurrence-count measure is direct_measure,agree
decreasing measure / ranking function,direct_measure,direct_measure,decreasing measure; ranking function is same mechanism,direct_measure,direct_measure,decreasing numeric measure,agree
decreasing measure on structural size of third argument,direct_measure,direct_measure,size-based decreasing measure,direct_measure,direct_measure,size-based decreasing measure,agree
decreasing measure on third argument,direct_measure,direct_measure,matches dictionary decreasing measure entries,direct_measure,direct_measure,matches decreasing measure on third argument rows,agree
decreasing measure on third argument of F,direct_measure,direct_measure,matches dictionary entry exactly,direct_measure,direct_measure,matches dictionary row for third argument of F,agree
decreasing measure on third-argument size,direct_measure,direct_measure,size-based decreasing measure,direct_measure,direct_measure,size measure on third argument,agree
decreasing multiset/natural-number measure,multiset_measure,direct_measure,leads with multiset measure,multiset_measure,direct_measure,leads with multiset measure; class direct_measure,agree
decreasing recursive-argument / structural descent,structural_descent,structural_descent,structure/recursion-based descent without numeric measure,structural_descent,structural_descent,recursive-argument descent referencing structure,agree
decreasing-argument / structural-recursion on third argument of F,structural_descent,structural_descent,structural recursion renamed to structural_descent,structural_descent,structural_descent,structural recursion collapses to structural_descent,agree
decreasing-measure / ranking argument,direct_measure,direct_measure,decreasing measure; ranking is same mechanism,direct_measure,direct_measure,decreasing numeric measure,agree
decreasing-measure / structural recursion,direct_measure,direct_measure,leads with measure; matches informal measure/structural-recursion precedent,direct_measure,direct_measure,leads with measure; matches measure/structural-recursion row,agree
decreasing-measure/structural recursion,direct_measure,direct_measure,leads with measure; matches informal measure/structural-recursion precedent,direct_measure,direct_measure,leads with measure; matches measure/structural-recursion row,agree
dependency pairs + polynomial interpretation + LPO,dependency_pairs,transformed_calls,leads with dependency pairs; others secondary,dependency_pairs,transformed_calls,leads with dependency pairs,agree
dependency pairs/subterm criterion; LPO/RPO,dependency_pairs,transformed_calls,dependency pairs with subterm criterion counts as dependency_pairs,dependency_pairs,transformed_calls,subterm criterion counts as dependency_pairs,agree
dependency pairs; LPO/RPO,dependency_pairs,transformed_calls,leads with dependency pairs; path order secondary,dependency_pairs,transformed_calls,leads with dependency pairs,agree
descent counting (S constructors),direct_measure,direct_measure,S-constructor counting measure,direct_measure,direct_measure,descent via S-constructor count is a count measure,agree
exhibiting infinite family of longer normalizing derivations,objection_or_non_method,objection,not a termination method; argues unbounded derivations,objection_or_non_method,objection,argues against SN rather than giving a method,agree
explicit infinite reduction sequence,objection_or_non_method,objection,non-termination witness; matches non-terminating sequence precedent,objection_or_non_method,objection,"non-termination witness, not a termination method",agree
external termination ordering,path_order_generic,path_order,matches termination ordering -> path_order_generic precedent,path_order_generic,path_order,generic termination ordering maps to path_order_generic,agree
finiteness of S-prefix on third argument,direct_measure,direct_measure,S-prefix count/size finiteness is a counting measure,direct_measure,direct_measure,finiteness of S-prefix is a count/size argument,agree
height decrease; LPO or MPO,direct_measure,direct_measure,leads with height-decrease measure; path orders secondary,direct_measure,direct_measure,leads with height-decrease measure; LPO/MPO secondary,agree
induction on syntactic measure / subterm ordering,structural_induction,structural_induction,induction on a measure; matches induction_argument precedent,structural_induction,structural_induction,induction on a measure maps to structural_induction,agree
induction on term size / multiset or lexicographic measure,structural_induction,structural_induction,leads with induction on term size; matches induction_argument precedent,structural_induction,structural_induction,induction on term size is structural_induction,agree
induction on third argument of F,structural_induction,structural_induction,plain induction on term structure,structural_induction,structural_induction,plain induction on term structure,agree
informal decrease argument,direct_measure,direct_measure,informal decrease without structure reference reads as size/measure descent,direct_measure,direct_measure,"generic informal decrease without structure reference, matches informal measure argument precedent",agree
informal descent argument (S-depth of third argument),direct_measure,direct_measure,names an S-depth count measure; matches informal successor-depth precedent,direct_measure,direct_measure,"descent via S-depth count, a size/depth measure",agree
informal structural-decrease argument,structural_descent,structural_descent,informal structural decrease matches dictionary structural_descent rows,structural_descent,structural_descent,"informal decrease referencing term structure, matches informal structural decrease precedent",agree
lexicographic / path ordering,path_order_generic,path_order,matches dictionary lexicographic/path ordering as generic path order,lpo,path_order,"reads as lexicographic path ordering, matches Lexicographic / Recursive Path Ordering -> lpo precedent",name_only
lexicographic 4-tuple (cherry/grape/peach/banana counts),lexicographic_measure,direct_measure,tuple of counts ordered lexicographically,lexicographic_measure,direct_measure,tuple of counts ordered lexicographically,agree
lexicographic combination of measures,lexicographic_measure,direct_measure,measures combined lexicographically,lexicographic_measure,direct_measure,multiple measures combined lexicographically,agree
lexicographic constructor-count measure,lexicographic_measure,direct_measure,constructor counts compared lexicographically,lexicographic_measure,direct_measure,constructor counts ordered lexicographically,agree
lexicographic constructor-count/depth measure,lexicographic_measure,direct_measure,count and depth components in lexicographic order,lexicographic_measure,direct_measure,count and depth components ordered lexicographically,agree
lexicographic constructor-count/size measure,lexicographic_measure,direct_measure,count and size components in lexicographic order,lexicographic_measure,direct_measure,count and size components ordered lexicographically,agree
lexicographic interpretation into naturals,polynomial_interpretation,polynomial,interpretation into naturals is the mechanism; natural_number_interpretation renames to polynomial_interpretation,polynomial_interpretation,polynomial,"interpretation into N, natural_number_interpretation renames to polynomial_interpretation",agree
"lexicographic measure (#S, #F)",lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,agree
lexicographic measure (#grape #cherry size),lexicographic_measure,direct_measure,count/size tuple ordered lexicographically,lexicographic_measure,direct_measure,counts and size ordered lexicographically,agree
"lexicographic measure (E, D, size)",lexicographic_measure,direct_measure,triple of counts/size ordered lexicographically,lexicographic_measure,direct_measure,"triple of counts and size, matches (E, D, S) precedent",agree
"lexicographic measure (F-count, S-count in third argument)",lexicographic_measure,direct_measure,pair of counts ordered lexicographically,lexicographic_measure,direct_measure,pair of counts ordered lexicographically,agree
"lexicographic measure (F-count, S-depth)",lexicographic_measure,direct_measure,count/depth pair ordered lexicographically,lexicographic_measure,direct_measure,count and depth ordered lexicographically,agree
lexicographic measure (G C P S),lexicographic_measure,direct_measure,tuple of symbol counts ordered lexicographically,lexicographic_measure,direct_measure,"tuple of symbol counts, matches (C, G, S) precedent",agree
"lexicographic measure (S-depth of third arg, #F)",lexicographic_measure,direct_measure,depth/count pair ordered lexicographically,lexicographic_measure,direct_measure,depth and count ordered lexicographically,agree
lexicographic measure (cherry count / active grape count / size),lexicographic_measure,direct_measure,count/size triple ordered lexicographically,lexicographic_measure,direct_measure,counts and size ordered lexicographically,agree
lexicographic measure (cherry count / banana arg height / size),lexicographic_measure,direct_measure,count/height/size triple ordered lexicographically,lexicographic_measure,direct_measure,"count, height, size ordered lexicographically",agree
"lexicographic measure (cherry count, grape count, size)",lexicographic_measure,direct_measure,count/size triple ordered lexicographically,lexicographic_measure,direct_measure,"counts and size, matches cherry count grape count and size precedent",agree
"lexicographic measure (delta-depth multiset, node counts)",multiset_measure,direct_measure,multiset component present; dictionary maps lexicographic-with-multiset to multiset_measure,multiset_measure,direct_measure,"multiset component present, matches recΔ-third-arg multiset precedent",agree
lexicographic measure (eqW count + delta-depth),lexicographic_measure,direct_measure,count/depth components ordered lexicographically,lexicographic_measure,direct_measure,count and depth components ordered lexicographically,agree
lexicographic measure (eqW count / delta count / size),lexicographic_measure,direct_measure,count/size triple ordered lexicographically,lexicographic_measure,direct_measure,counts and size ordered lexicographically,agree
lexicographic measure (eqW count / multiset of recΔ active depths / size),multiset_measure,direct_measure,multiset component present; follows multiset_measure precedent,multiset_measure,direct_measure,"multiset component present, matches multiset precedent",agree
lexicographic measure (eqW count / size),lexicographic_measure,direct_measure,count/size pair ordered lexicographically,lexicographic_measure,direct_measure,count and size ordered lexicographically,agree
"lexicographic measure (eqW count, delta-height multiset, delta count)",multiset_measure,direct_measure,multiset component present; follows multiset_measure precedent,multiset_measure,direct_measure,"multiset component present, matches delta-height multiset precedent",agree
lexicographic measure (eqW+recΔ count / recΔ delta-depth / delta+merge+integrate count),lexicographic_measure,direct_measure,count/depth triple ordered lexicographically,lexicographic_measure,direct_measure,counts and depth ordered lexicographically,agree
lexicographic measure (eqW-count then SN subsystem),lexicographic_measure,direct_measure,staged lexicographic count measure,lexicographic_measure,direct_measure,primary committed method is a lexicographic count-first measure,agree
lexicographic measure (grape count / cherry count / size),lexicographic_measure,direct_measure,count/size triple ordered lexicographically,lexicographic_measure,direct_measure,counts and size ordered lexicographically,agree
lexicographic measure (grape count / size),lexicographic_measure,direct_measure,count/size pair ordered lexicographically,lexicographic_measure,direct_measure,"count and size, matches grape count and size precedent",agree
lexicographic measure (grape depth / pear / cherry / size),lexicographic_measure,direct_measure,depth/count/size tuple ordered lexicographically,lexicographic_measure,direct_measure,"depth, counts, and size ordered lexicographically",agree
lexicographic measure (normal-form flag then size),lexicographic_measure,direct_measure,flag/size pair like root-redex flag precedent,lexicographic_measure,direct_measure,"flag then size tuple, matches root-redex flag and term size precedent",agree
lexicographic measure (recursion measure then eqW-count),lexicographic_measure,direct_measure,staged measure components ordered lexicographically,lexicographic_measure,direct_measure,two measures ordered lexicographically,agree
"lexicographic measure (root-redex count, size)",lexicographic_measure,direct_measure,count/size pair ordered lexicographically,lexicographic_measure,direct_measure,count and size ordered lexicographically,agree
lexicographic measure (term height + grape/cherry node count),lexicographic_measure,direct_measure,height/count components in lexicographic measure,lexicographic_measure,direct_measure,height and node-count components ordered lexicographically,agree
lexicographic measure (Δ-depth / eqW-depth / size),lexicographic_measure,direct_measure,depth/size triple ordered lexicographically,lexicographic_measure,direct_measure,depths and size ordered lexicographically,agree
lexicographic measure (δ-depth / size),lexicographic_measure,direct_measure,depth/size pair ordered lexicographically,lexicographic_measure,direct_measure,"depth and size, matches (δ(t), |t|) precedent",agree
"lexicographic measure (δ-height, size)",lexicographic_measure,direct_measure,height/size pair ordered lexicographically,lexicographic_measure,direct_measure,height and size ordered lexicographically,agree
lexicographic measure / multiset path order,lexicographic_measure,direct_measure,compound label; leads with lexicographic measure as primary,lexicographic_measure,direct_measure,"compound label leads with lexicographic measure as primary, matches lexicographic measure / well-founded ordering precedent",agree
lexicographic measure / weighted interpretation,lexicographic_measure,direct_measure,compound label; leads with lexicographic measure as primary,lexicographic_measure,direct_measure,compound label leads with lexicographic measure as primary,agree
lexicographic measure of global symbol counts,lexicographic_measure,direct_measure,symbol counts compared lexicographically,lexicographic_measure,direct_measure,symbol counts ordered lexicographically,agree
lexicographic measure of total symbol occurrences,lexicographic_measure,direct_measure,occurrence counts compared lexicographically,lexicographic_measure,direct_measure,occurrence counts ordered lexicographically,agree
lexicographic measure on #S and #F,lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,agree
lexicographic measure on F count and S-depth,lexicographic_measure,direct_measure,count/depth pair ordered lexicographically,lexicographic_measure,direct_measure,count and depth ordered lexicographically,agree
lexicographic measure on S-count and F-count,lexicographic_measure,direct_measure,pair of counts ordered lexicographically,lexicographic_measure,direct_measure,pair of counts ordered lexicographically,agree
lexicographic measure on multiset of active constructors,multiset_measure,direct_measure,multiset component present; follows multiset_measure precedent,multiset_measure,direct_measure,"multiset component is the measure, matches multiset precedent",agree
lexicographic measure on symbol counts,lexicographic_measure,direct_measure,symbol counts compared lexicographically,lexicographic_measure,direct_measure,symbol counts ordered lexicographically,agree
lexicographic measure on term structure,lexicographic_measure,direct_measure,lexicographic tuple measure on term structure,lexicographic_measure,direct_measure,lexicographically ordered tuple measure,agree
lexicographic measure on total S and F occurrences,lexicographic_measure,direct_measure,lexicographic pair of symbol counts,lexicographic_measure,direct_measure,lex pair of symbol counts,agree
lexicographic natural-number interpretation,polynomial_interpretation,polynomial,natural-number interpretation maps to polynomial_interpretation per rename rules,polynomial_interpretation,polynomial,interpretation into N is polynomial-class,agree
lexicographic order / polynomial interpretation,lexicographic_measure,direct_measure,compound; leads with lexicographic order which maps to lexicographic_measure,lexicographic_measure,direct_measure,leads with lexicographic order; dictionary maps lexicographic order to lexicographic_measure,agree
lexicographic ordering / structural recursion on third argument,lexicographic_measure,direct_measure,compound; leads with lexicographic ordering (dict: lexicographic ordering -> lexicographic_measure),lexicographic_measure,direct_measure,primary is lexicographic ordering measure,agree
lexicographic ordering on S-depth (third argument),lexicographic_measure,direct_measure,lexicographic ordering on depth counts is a lexicographic measure,lexicographic_measure,direct_measure,lex ordering on depth counts,agree
lexicographic ordinal measure,lexicographic_measure,direct_measure,lexicographic tuple measure; no explicit ordinal-valued interpretation equations,lexicographic_measure,direct_measure,lexicographic measure; ordinal describes codomain not an interpretation,agree
"lexicographic pair (#F, #S) measure",lexicographic_measure,direct_measure,pair of counts ordered lexicographically,lexicographic_measure,direct_measure,lex pair of counts,agree
"lexicographic pair (μ, #F-redexes)",lexicographic_measure,direct_measure,pair of numeric components ordered lexicographically,lexicographic_measure,direct_measure,lex pair measure,agree
"lexicographic pair measure (α, β)",lexicographic_measure,direct_measure,pair measure ordered lexicographically,lexicographic_measure,direct_measure,lex pair measure,agree
lexicographic pair on leading S-symbols and F-nodes,lexicographic_measure,direct_measure,pair of counts ordered lexicographically,lexicographic_measure,direct_measure,lex pair of counts,agree
lexicographic pair on total S symbols and total F symbols,lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,lexicographic_measure,direct_measure,lex pair of counts,agree
lexicographic path order (LPO),lpo,path_order,explicit LPO,lpo,path_order,explicit LPO,agree
"lexicographic path order (LPO) with precedence F>G,S,Z",lpo,path_order,explicit LPO with precedence,lpo,path_order,LPO with precedence,agree
lexicographic path order (LPO); polynomial interpretation,lpo,path_order,compound; leads with LPO (dict convention),lpo,path_order,compound; leads with LPO,agree
lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order,compound; leads with LPO (dict convention),lpo,path_order,compound; leads with LPO,agree
"lexicographic path ordering (LPO, precedence F>G)",lpo,path_order,explicit LPO with precedence,lpo,path_order,LPO with precedence,agree
lexicographic path ordering / measure,lpo,path_order,compound; leads with LPO,lpo,path_order,compound; leads with LPO,agree
"lexicographic path ordering / measure (F-count, S-depth)",lpo,path_order,compound; leads with LPO,lpo,path_order,compound; leads with LPO,agree
lexicographic path ordering / polynomial interpretation,lpo,path_order,compound; leads with LPO (dict analog row),lpo,path_order,compound; leads with LPO per dictionary,agree
lexicographic path ordering; recursive path ordering,lpo,path_order,dict: LPO/RPO compound leading with LPO maps to lpo,lpo,path_order,LPO/RPO pair mapped to lpo per dictionary,agree
lexicographic product (multiset of recΔ depths / size),multiset_measure,direct_measure,explicit multiset component (dict: lexicographic measures with multiset -> multiset_measure),multiset_measure,direct_measure,multiset component dominates per dictionary convention,agree
lexicographic ranking,lexicographic_measure,direct_measure,lexicographic ranking is a lexicographic measure,lexicographic_measure,direct_measure,lex measure synonym,agree
"lexicographic ranking (term size, # of S symbols)",lexicographic_measure,direct_measure,pair of counts ordered lexicographically,lexicographic_measure,direct_measure,lex pair of size and count,agree
lexicographic structural measure,lexicographic_measure,direct_measure,lexicographic measure on structure,lexicographic_measure,direct_measure,lex measure on structure,agree
lexicographic termination measure (pair of naturals),lexicographic_measure,direct_measure,pair of naturals ordered lexicographically,lexicographic_measure,direct_measure,lex pair of naturals,agree
"lexicographic termination measure on (#S, #F)",lexicographic_measure,direct_measure,pair of symbol counts ordered lexicographically,lexicographic_measure,direct_measure,lex pair of counts,agree
lexicographic triple (cherry / grape / size),lexicographic_measure,direct_measure,triple of counts ordered lexicographically,lexicographic_measure,direct_measure,lex triple of counts,agree
lexicographic triple (eqW+recΔ count / delta count / size),lexicographic_measure,direct_measure,triple of counts ordered lexicographically,lexicographic_measure,direct_measure,lex triple of counts,agree
lexicographic triple measure,lexicographic_measure,direct_measure,tuple measure ordered lexicographically,lexicographic_measure,direct_measure,lex tuple measure,agree
lexicographic/measure argument on term structure,lexicographic_measure,direct_measure,lexicographic measure argument on term structure,lexicographic_measure,direct_measure,lex measure argument,agree
lexicographic/multiset path order (RPO),rpo,path_order,explicitly named RPO,rpo,path_order,explicitly named RPO,agree
lexicographic/multiset path ordering,path_order_generic,path_order,path-order family without single named order (dict: LPO / MPO -> path_order_generic),path_order_generic,path_order,LPO/MPO combo without single named order,agree
lexicographic/multiset path ordering + well-founded induction,path_order_generic,path_order,primary method is generic path ordering; induction is auxiliary,path_order_generic,path_order,primary is the path ordering; LPO/MPO combo,agree
lexicographic/polynomial measure,lexicographic_measure,direct_measure,compound; leads with lexicographic measure,lexicographic_measure,direct_measure,leads with lexicographic measure,agree
"measure / monotone interpretation into (ℕ,>)",polynomial_interpretation,polynomial,monotone interpretation into N is the interpretation method (dict: monotone algebra interpretation -> polynomial),polynomial_interpretation,polynomial,monotone interpretation into N with symbol equations,agree
measure argument / structural recursion (subterm / RPO),direct_measure,direct_measure,compound; leads with measure argument,direct_measure,direct_measure,leads with measure argument,agree
measure counting S symbols in third argument,direct_measure,direct_measure,S-count measure (s_count_measure renamed to direct_measure),direct_measure,direct_measure,S-count measure,agree
measure counting S-occurrences in third argument of F,direct_measure,direct_measure,S-count measure -> direct_measure,direct_measure,direct_measure,S-count measure,agree
measure counting S-symbols in third argument,direct_measure,direct_measure,S-count measure -> direct_measure,direct_measure,direct_measure,S-count measure,agree
measure descent (S-depth of third argument of F),direct_measure,direct_measure,S-depth measure -> direct_measure,direct_measure,direct_measure,S-depth measure,agree
measure on S-depth of third argument,direct_measure,direct_measure,S-depth measure -> direct_measure,direct_measure,direct_measure,S-depth measure,agree
measure on S-depths of F third arguments,direct_measure,direct_measure,depth measure without explicit multiset wording,direct_measure,direct_measure,S-depth measure; no explicit multiset,agree
